"Longitude.x.","Latitude.y.","Aepyceros.melampus","Alcelaphus.buselaphus","Beatragus.hunteri","Cephalophus.adersi","Cephalophus.callipygus","Cephalophus.dorsalis","Cephalophus.harveyi","Cephalophus.jentinki","Cephalophus.leucogaster","Cephalophus.natalensis","Cephalophus.niger","Cephalophus.nigrifrons","Cephalophus.ogilbyi","Cephalophus.rufilatus","Cephalophus.silvicultor","Cephalophus.spadix","Cephalophus.weynsi","Cephalophus.zebra","Ceratotherium.simum","Choeropsis.liberiensis","Connochaetes.taurinus","Damaliscus.lunatus","Diceros.bicornis","Equus.quagga","Eudorcas.thomsonii","Giraffa.camelopardalis","Hippopotamus.amphibius","Hippotragus.equinus","Hippotragus.niger","Hyemoschus.aquaticus","Hylochoerus.meinertzhageni","Kobus.ellipsiprymnus","Kobus.kob","Litocranius.walleri","Loxodonta.africana","Loxodonta.cyclotis","Madoqua.guentheri","Madoqua.kirkii","Nanger.granti","Neotragus.batesi","Neotragus.pygmaeus","Nesotragus.moschatus","Okapia.johnstoni","Oreotragus.oreotragus","Oryx.beisa","Ourebia.ourebi","Phacochoerus.aethiopicus","Phacochoerus.africanus","Philantomba.maxwellii","Philantomba.monticola","Potamochoerus.larvatus","Potamochoerus.porcus","Raphicerus.campestris","Raphicerus.sharpei","Redunca.arundinum","Redunca.fulvorufula","Redunca.redunca","Sylvicapra.grimmia","Syncerus.caffer","Tragelaphus.angasii","Tragelaphus.buxtoni","Tragelaphus.eurycerus","Tragelaphus.imberbis","Tragelaphus.oryx","Tragelaphus.scriptus","Tragelaphus.spekii","Tragelaphus.strepsiceros","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","Total.livestock.Aw","Human.footprint","Land.Cover"
-11.0833333333333,9.08333333333334,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,24.2541561126709,14.1984376907349,65.9970321655273,111.53547668457,34.7350006103516,13.2212495803833,21.5137519836426,23.3852081298828,23.6280002593994,25.7868328094482,23.3790416717529,2429,425,9,76.9819564819336,1191,57,424,174,3748.5436897594,4,"Tree Covered Area"
-10.9166666666667,9.08333333333334,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,24.5436153411865,14.8081455230713,65.0700149536133,118.664031982422,35.5652503967285,12.8079996109009,22.757251739502,23.6312503814697,23.8646659851074,26.1627922058105,23.5948333740234,2370,414,9,75.8749542236328,1146,57,426,171,3958.6560542736,4,"Tree Covered Area"
-10.75,9.08333333333334,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,23.5514888763428,15.145396232605,64.9577865600586,118.598442077637,34.8445014953613,11.5287504196167,23.3157501220703,22.6330833435059,22.9080410003662,25.1681671142578,22.6098747253418,2319,404,10,74.67822265625,1112,59,435,164,3741.79147195236,4,"Tree Covered Area"
-10.9166666666667,8.91666666666667,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,24.7555408477783,14.6131248474121,66.1706390380859,111.855682373047,35.3880004882812,13.3039999008179,22.0839996337891,23.8850002288818,24.0374584197998,26.2870826721191,23.8730411529541,2446,425,9,73.8888473510742,1161,65,449,190,2834.62472880974,4,"Tree Covered Area"
-10.75,8.91666666666667,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,23.6030616760254,14.7799587249756,65.8548049926758,110.418853759766,34.4850006103516,12.0417499542236,22.4432506561279,22.6793327331543,23.0423336029053,25.1049156188965,22.6793327331543,2387,416,11,73.2274627685547,1131,66,453,1131,3009.92675668931,5,"Tree Covered Area"
0.583333333333332,8.91666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,27.381196975708,10.8698539733887,66.8482131958008,148.386245727539,36.2402496337891,19.9797496795654,16.2604999542236,25.5882911682129,28.0015411376953,29.4104156494141,25.5882911682129,1231,235,4,82.9876403808594,635,20,143,635,3306.05820258482,6,"Shrubs Covered Area"
0.75,8.91666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,26.5288753509521,10.7128753662109,68.5141677856445,149.457565307617,35.158748626709,19.5227489471436,15.6359996795654,24.6687927246094,27.2649574279785,28.5258750915527,24.6687927246094,1270,236,6,83.1277084350586,667,25,147,667,2925.19540160969,6,"Tree Covered Area"
0.583333333333332,8.75,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,27.2827091217041,10.8472919464111,67.1149826049805,144.983367919922,36.1665000915527,20.0042495727539,16.1622505187988,25.5237083435059,27.9497509002686,29.2564582824707,25.5237083435059,1233,230,5,81.0630264282227,625,24,151,625,2503.30096059128,7,"CropLand"
0.75,8.75,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,25.2752075195312,10.4299163818359,71.5529556274414,141.362060546875,33.5302505493164,18.9537506103516,14.5764999389648,23.453540802002,25.6218338012695,27.0736236572266,23.453540802002,1332,240,8,81.1513748168945,694,34,164,694,2245.92679375327,6,"CropLand"
0.583333333333332,8.58333333333334,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,26.8352909088135,10.5778331756592,69.0549240112305,140.064666748047,35.4107513427734,20.0927505493164,15.318000793457,25.0994987487793,27.5267925262451,28.7074584960938,25.0994987487793,1253,229,6,79.077262878418,624,29,164,624,2980.80642351467,7,"Shrubs Covered Area"
0.75,8.58333333333334,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,25.4158954620361,10.4505414962769,72.2433319091797,136.223068237305,33.640251159668,19.1744995117188,14.4657516479492,23.664041519165,25.7496242523193,27.146541595459,23.664041519165,1299,231,8,79.6507263183594,666,34,169,666,2391.95624074065,6,"CropLand"
