"Longitude.x.","Latitude.y.","Aepyceros.melampus","Alcelaphus.buselaphus","Ammotragus.lervia","Antidorcas.marsupialis","Beatragus.hunteri","Capra.walie","Cephalophus.adersi","Cephalophus.callipygus","Cephalophus.dorsalis","Cephalophus.harveyi","Cephalophus.jentinki","Cephalophus.leucogaster","Cephalophus.natalensis","Cephalophus.niger","Cephalophus.nigrifrons","Cephalophus.ogilbyi","Cephalophus.rufilatus","Cephalophus.silvicultor","Cephalophus.spadix","Cephalophus.weynsi","Cephalophus.zebra","Ceratotherium.simum","Cervus.elaphus","Choeropsis.liberiensis","Connochaetes.gnou","Connochaetes.taurinus","Damaliscus.lunatus","Damaliscus.pygargus","Diceros.bicornis","Equus.africanus","Equus.grevyi","Equus.quagga","Equus.zebra","Eudorcas.albonotata","Eudorcas.rufifrons","Eudorcas.thomsonii","Eudorcas.tilonura","Gazella.cuvieri","Gazella.dorcas","Gazella.leptoceros","Giraffa.camelopardalis","Hippopotamus.amphibius","Hippotragus.equinus","Hippotragus.niger","Hyemoschus.aquaticus","Hylochoerus.meinertzhageni","Kobus.ellipsiprymnus","Kobus.kob","Kobus.leche","Kobus.megaceros","Kobus.vardonii","Litocranius.walleri","Loxodonta.africana","Loxodonta.cyclotis","Madoqua.guentheri","Madoqua.kirkii","Madoqua.saltiana","Nanger.dama","Nanger.granti","Nanger.soemmerringii","Neotragus.batesi","Neotragus.pygmaeus","Nesotragus.moschatus","Okapia.johnstoni","Oreotragus.oreotragus","Oryx.beisa","Oryx.gazella","Ourebia.ourebi","Pelea.capreolus","Phacochoerus.aethiopicus","Phacochoerus.africanus","Philantomba.maxwellii","Philantomba.monticola","Potamochoerus.larvatus","Potamochoerus.porcus","Raphicerus.campestris","Raphicerus.melanotis","Raphicerus.sharpei","Redunca.arundinum","Redunca.fulvorufula","Redunca.redunca","Sus.scrofa","Sylvicapra.grimmia","Syncerus.caffer","Tragelaphus.angasii","Tragelaphus.buxtoni","Tragelaphus.derbianus","Tragelaphus.eurycerus","Tragelaphus.imberbis","Tragelaphus.oryx","Tragelaphus.scriptus","Tragelaphus.spekii","Tragelaphus.strepsiceros","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","Land.Cover"
37.5833333333333,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,26.6707496643066,14.3350419998169,66.0319519042969,214.441497802734,38.330249786377,16.621000289917,21.70924949646,24.6597919464111,25.5865421295166,29.6235828399658,24.6597919464111,643,204,1,135.228759765625,482,3,51,482,"Grassland"
36.9166666666667,14.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,27.345645904541,14.6052503585815,66.7332992553711,185.46305847168,38.6860008239746,16.7999992370605,21.8860015869141,25.3678741455078,26.4722499847412,29.8800849914551,25.3678741455078,664,199,0,135.100799560547,498,0,48,498,"CropLand"
37.0833333333333,14.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,26.6379680633545,14.4659795761108,66.2490615844727,192.609909057617,38.0794982910156,16.2437496185303,21.8357486724854,24.6485424041748,25.7463340759277,29.2942485809326,24.6485424041748,683,205,0,135.299575805664,512,0,51,512,"CropLand"
37.25,14.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,26.3468437194824,14.6702289581299,66.3548583984375,202.022109985352,38.0349998474121,15.9262504577637,22.1087493896484,25.4322509765625,25.4273338317871,29.1324157714844,24.3196678161621,688,211,0,135.706115722656,516,0,53,516,"CropLand"
37.4166666666667,14.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,26.1441974639893,14.4483127593994,65.7623291015625,214.961898803711,37.9362487792969,15.9657497406006,21.9704990386963,25.2414169311523,25.1800842285156,29.1054992675781,24.0520000457764,686,214,0,135.656936645508,514,0,55,514,"Tree Covered Area"
37.5833333333333,14.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,27.0468845367432,14.1829376220703,65.2021636962891,223.865310668945,38.9562492370605,17.2040004730225,21.7522487640381,26.1538333892822,25.9830417633057,30.1704998016357,24.9603328704834,631,196,1,132.98323059082,467,3,53,467,"Grassland"
-14.9166666666667,13.5833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,27.6111145019531,13.8129386901855,59.9441795349121,199.9150390625,38.5940017700195,15.5509996414185,23.0430030822754,27.2435417175293,26.6557083129883,30.2153339385986,25.238374710083,723,223,0,137.443130493164,577,1,83,2,"Grassland"
-13.4166666666667,13.4166666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,27.689697265625,12.6655206680298,56.1166191101074,251.30534362793,38.6800003051758,16.1100006103516,22.5699996948242,27.0683326721191,26.5663757324219,31.0496253967285,24.822416305542,798,226,0,130.346649169922,604,0,129,3,"Shrubs Covered Area"
-12.9166666666667,13.4166666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,27.9256763458252,12.3127708435059,56.4670028686523,246.871673583984,38.9542503356934,17.1490001678467,21.8052501678467,26.9395008087158,27.1044158935547,31.3199577331543,25.3402919769287,827,237,0,130.414672851562,626,0,135,2,"Shrubs Covered Area"
-12.75,13.4166666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,27.9395942687988,12.1700210571289,56.5120887756348,243.210586547852,38.984001159668,17.4487495422363,21.5352516174316,26.7479572296143,27.3903331756592,31.2853755950928,25.5138339996338,836,242,0,131.171249389648,636,0,26,2,"Tree Covered Area"
