"","Aepyceros.melampus","Alcelaphus.buselaphus","Antidorcas.marsupialis","Cephalophus.callipygus","Cephalophus.dorsalis","Cephalophus.leucogaster","Cephalophus.nigrifrons","Cephalophus.rufilatus","Cephalophus.silvicultor","Cephalophus.weynsi","Connochaetes.taurinus","Damaliscus.lunatus","Equus.quagga","Equus.zebra","Giraffa.camelopardalis","Hippopotamus.amphibius","Hippotragus.equinus","Hippotragus.niger","Hyemoschus.aquaticus","Hylochoerus.meinertzhageni","Kobus.ellipsiprymnus","Kobus.kob","Kobus.leche","Litocranius.walleri","Loxodonta.africana","Loxodonta.cyclotis","Madoqua.kirkii","Nanger.granti","Neotragus.batesi","Nesotragus.moschatus","Oreotragus.oreotragus","Oryx.beisa","Oryx.gazella","Ourebia.ourebi","Phacochoerus.africanus","Philantomba.monticola","Potamochoerus.larvatus","Potamochoerus.porcus","Raphicerus.campestris","Raphicerus.sharpei","Redunca.arundinum","Redunca.fulvorufula","Redunca.redunca","Sylvicapra.grimmia","Syncerus.caffer","Tragelaphus.derbianus","Tragelaphus.eurycerus","Tragelaphus.imberbis","Tragelaphus.oryx","Tragelaphus.scriptus","Tragelaphus.spekii","Tragelaphus.strepsiceros"
"poly(temp, degree = 2, raw = TRUE)",0.0220871099570834,0.0135182913188424,0.102669277427681,0.0385968528670138,0.0716869234262861,0.0559596588957962,0.0299362896189772,0.0448829754941424,0.0359053081837773,0.0160075016129003,0.0198100384622177,0.0359716262846798,0.0263493615921298,0.164689789440221,0.158736866185522,0.400855891561854,0.0640393785648663,0.0330014255337168,0.0568164667034193,0.0968980921557686,0.0977191574289798,0.0691993017558648,0.038367276922897,0.0526684063812237,0.0609338939685064,0.0587627087925974,0.0698044375692907,0.0260024922531813,0.074785569322345,0.150988228417608,0.284228779332788,0.0177370945435782,0.103679179691974,0.024565978052088,0.0226689150318449,0.0833120334137804,0.0183650060029255,0.0212541438216144,0.0887717766268679,0.0144177372503652,0.0530694092482605,0.051852314157208,0.031123353032676,0.019316030364732,0.130184379750043,0.014938235204155,0.0848590557205516,0.0169072555218848,0.0119829278847336,0.033383489000087,0.0229422238534042,0.0397053412197152
"poly(precip, degree = 2, raw = TRUE)",0.235199689499957,0.561544479641402,0.811461228947587,0.0548187791477526,0.360713943077016,0.0527597199013907,0.294278140390623,0.445618809356131,0.710998275057927,0.366810509279779,0.538802308642156,0.582895802424554,0.210554199355654,0.731094209804098,0.266475947086998,0.145230706246269,0.682213886993914,0.273954250588174,0.32245930415743,0.212922264764094,0.649610840456689,0.779601021526393,0.578837264099214,0.39683843188589,0.575852017381022,0.320063251188462,0.48551066797405,0.424041182907306,0.100177468734452,0.215090707540513,0.118893575541784,0.184803715388807,0.78806089742129,0.667221623147083,0.682157112946126,0.600062460674283,0.394666999733834,0.298100743460202,0.74394833294705,0.365266643188099,0.472772688209046,0.56419715049027,0.634577482331202,0.376625350666761,0.623999832750303,0.566724721870322,0.24190238878928,0.373688082081961,0.241974604824795,0.677291820672973,0.50480714071112,0.357146518549244
"poly(mean.diurnal.range, degree = 2, raw = TRUE)",0.0588578605142167,0.336176150785972,0.0583744529539746,0.0923009081724929,0.337141327310488,0.120283503270115,0.259708833734554,0.0914866075760967,0.114832319752251,0.341194417341958,0.255490375278602,0.338219962774087,0.0313387771520935,0.0239220405458127,0.28838351352575,0.109246681528742,0.15184023133055,0.130207319484924,0.250285755572953,0.10707418726102,0.0630542679592255,0.10197105392876,0.0422339617264618,0.0275042196040882,0.0802128768854559,0.227552419236046,0.0259921828488876,0.0583704618157098,0.243884436416184,0.274317138980201,0.195791356707724,0.0203844598631473,0.0886379381085553,0.23984593883465,0.0881980918871452,0.25579966936932,0.143620847850208,0.0924552247414465,0.0725159557107475,0.251529715939305,0.0976525283280159,0.152696505554692,0.0734046411348568,0.364373276286638,0.0128951218369229,0.134204712437172,0.280817840471968,0.0329139911336528,0.110487740513693,0.0408995581857884,0.0512512683795024,0.16066299901456
"poly(precip.seasonality, degree = 2, raw = TRUE)",0.041896945224174,0.0378594152577388,0.0168992318095678,0.0238946964325816,0.14304227294306,0.0387488090442231,0.24049410800441,0.133217381473623,0.0271060731761912,0.268945291684547,0.0563197562094259,0.0244721018321046,0.207064447570889,0.0739324002566053,0.135886162435056,0.285204718908765,0.0985318671228431,0.0804187520753287,0.194364023191994,0.116915352184866,0.0749372797569495,0.0167507648396246,0.0874232715774468,0.0827311200764602,0.0848923065581637,0.172021885143676,0.224565668364917,0.0251195095788431,0.0453533929354388,0.0455039469605896,0.0565048524656467,0.0143211205985698,0.0178197694714396,0.0665477972283147,0.169574201438155,0.0230057226395628,0.0271020962807977,0.030158064446247,0.0200272522273823,0.211806457152088,0.181128119225657,0.065145089385609,0.0765553052632461,0.0704534951074761,0.189382744464877,0.140919181885547,0.287350858246275,0.0546291993709521,0.0222633202438063,0.18216223800378,0.136715380750176,0.170837237275493
"Random: ID",0.641958394804569,0.0509016629960456,0.0105958088611893,0.790388763380159,0.087415533243149,0.732248308888474,0.175582628251435,0.284794226100007,0.111158023829854,0.00704228008081578,0.129577521407598,0.0184405066845754,0.524693214329233,0.00636155995326415,0.150517510766674,0.0594620017543704,0.00337463598782646,0.482418252317857,0.176074450374204,0.466190103634251,0.114678454398156,0.0324778579493586,0.25313822567398,0.440257822052338,0.198108905206852,0.221599735639219,0.194127043242854,0.46646635344496,0.53579913259158,0.314099978101089,0.344581435952057,0.762753609605898,0.00180221530674026,0.00181866273786423,0.037401678696729,0.0378201139030536,0.416245050132234,0.558031823530489,0.0747366824879538,0.156979446470143,0.195377254989022,0.166108940412221,0.184339218238018,0.169231847574393,0.043537921197854,0.143213148602804,0.105069856771926,0.521861471891549,0.613291406532972,0.0662628941373713,0.284283986305797,0.271647903940988
"TjurR2",0.904284049791385,0.465141159741935,0.924698971406666,0.912927893692826,0.92789636440738,0.884023620452902,0.890861210799972,0.791123603125563,0.738543303486643,0.638849961814536,0.806776088532271,0.421212608870208,0.654962591365016,0.57605352476732,0.277625055233023,0.19188688602467,0.640904991076174,0.843165780478788,0.927983681095905,0.688538609373625,0.807951187089139,0.732607172137146,0.524919821672322,0.775909346892759,0.49302446357054,0.571064489333382,0.616041028831504,0.764340992082996,0.760928947742388,0.522348904904002,0.571664484308482,0.861396215590429,0.857939334603178,0.722867659621348,0.684153601638636,0.605009277852463,0.743188154046941,0.899364679500573,0.804607756498938,0.707888672417961,0.833275532924626,0.34986519031805,0.855975432248542,0.735649269524826,0.554052216213528,0.631919230401115,0.776898867051224,0.769508709340031,0.893162924446483,0.690023221325004,0.639179512905731,0.65267655923658
