"","Aepyceros.melampus","Alcelaphus.buselaphus","Antidorcas.marsupialis","Cephalophus.dorsalis","Cephalophus.rufilatus","Cephalophus.silvicultor","Connochaetes.taurinus","Damaliscus.lunatus","Equus.quagga","Equus.zebra","Giraffa.camelopardalis","Hippopotamus.amphibius","Hippotragus.equinus","Hippotragus.niger","Hylochoerus.meinertzhageni","Kobus.ellipsiprymnus","Kobus.kob","Kobus.vardonii","Litocranius.walleri","Loxodonta.africana","Madoqua.guentheri","Madoqua.kirkii","Nanger.granti","Nesotragus.moschatus","Oreotragus.oreotragus","Oryx.beisa","Oryx.gazella","Ourebia.ourebi","Phacochoerus.africanus","Philantomba.monticola","Potamochoerus.larvatus","Potamochoerus.porcus","Raphicerus.campestris","Raphicerus.sharpei","Redunca.arundinum","Redunca.fulvorufula","Redunca.redunca","Sylvicapra.grimmia","Syncerus.caffer","Tragelaphus.derbianus","Tragelaphus.eurycerus","Tragelaphus.imberbis","Tragelaphus.oryx","Tragelaphus.scriptus","Tragelaphus.spekii","Tragelaphus.strepsiceros"
"poly(temp, degree = 2, raw = TRUE)",0.0228405370625327,0.0614901723117489,0.202170698714627,0.245875076775925,0.24814453928841,0.0371972301988054,0.209108116319993,0.0741533997434201,0.107842311856912,0.41014550455395,0.165393185016181,0.114648274863042,0.190879995060383,0.0447058168442621,0.0489861130451444,0.237781501802542,0.466198566441192,0.0964370445127468,0.0297018781009238,0.05035564519663,0.0593520789086297,0.100657367686081,0.0412507829793479,0.232317372600322,0.62032061133229,0.0708007880135611,0.191693615320682,0.0230509638205676,0.0614596732680494,0.216633711458051,0.0435578467666554,0.0441071028765915,0.229554080934816,0.037237191769908,0.180651068894435,0.199020614607013,0.106542956764723,0.0724116250121492,0.283765514714705,0.0795582063731695,0.187736397348904,0.142197666435053,0.068535147405412,0.0811710632831225,0.0941082213644248,0.119322042232011
"poly(precip, degree = 2, raw = TRUE)",0.102926204469172,0.687698298377457,0.681244111283555,0.338678366373561,0.205960281263611,0.120145605841918,0.136124763677666,0.558639149281687,0.369581733802299,0.437327704775102,0.485317603772034,0.494202926266267,0.599622744968991,0.231386393630534,0.343846303853811,0.568860625693147,0.315833639489474,0.220843956328528,0.0490093981445219,0.574281320596948,0.0504605933585081,0.0879008462768431,0.142961232525769,0.102600222775733,0.140718971012958,0.0372290227560996,0.571523987671979,0.771460393254351,0.722964133277119,0.456459043409425,0.719009407704697,0.246893543373026,0.301070127319103,0.116986862978749,0.168602209687036,0.452255103254661,0.794892258778125,0.296026453715618,0.589025284094547,0.320338179093928,0.19630719726579,0.0538041085356062,0.157495600832672,0.825745275586418,0.508088975868857,0.231483168787445
"poly(mean.diurnal.range, degree = 2, raw = TRUE)",0.0266523705758223,0.142327341038835,0.0902213069529911,0.332341571175792,0.207928396697685,0.0778968950875271,0.421764483450294,0.324505872632002,0.0525691157004553,0.0248795796503092,0.0672294135766502,0.0879404101614464,0.131230504834712,0.0271250986741899,0.134749743262981,0.132402589126187,0.132914063141888,0.0759324881843532,0.0772557823804714,0.0336508079116132,0.0529902500853835,0.0528367547756281,0.136511943562161,0.300166843502795,0.111690443790321,0.0560686106211832,0.220188353169708,0.178440343679805,0.0670249127154243,0.0693374757538961,0.0207025787230622,0.104397621122494,0.224808000576422,0.222746589459349,0.0220487710398704,0.120959204400528,0.0376137945316665,0.124811186190681,0.0308341686080596,0.141376201860407,0.278303642863859,0.0878034923378284,0.223251390584572,0.063815018348533,0.0273233475065274,0.222101847012694
"poly(precip.seasonality, degree = 2, raw = TRUE)",0.0123383163348391,0.0905364528078243,0.0205261266856939,0.0351725240915471,0.0182790927204763,0.0542405441479656,0.0147489440187696,0.0324968122922595,0.0979456714436123,0.0761837156563217,0.0523940516388617,0.0680391646099359,0.0325094311863141,0.0367790991825377,0.417258965038879,0.0085152045178234,0.0539159672090936,0.103851141105584,0.0184722090063291,0.0205674330724436,0.0506655102477638,0.101448412999213,0.0547124469567818,0.0302076688796269,0.0204011335949558,0.0164115853661842,0.0137375275419276,0.0092939308595182,0.0417780840632485,0.0739293439241304,0.0819058050485924,0.0237528327011996,0.0081379603022061,0.0257270774595223,0.0248714548878525,0.0766351487229417,0.00568265925994822,0.0134089712606265,0.0575912806338832,0.0324895752675623,0.185494342448056,0.0130951781263372,0.00877815193926535,0.00935560644370204,0.129660898916573,0.197467217624474
"Random: ID",0.835242571557634,0.0179477354641352,0.00583775636313393,0.0479324615831743,0.319687690029817,0.710519724723785,0.218253692533277,0.0102047660506322,0.372061167196721,0.0514634953643172,0.229665745996273,0.235169224099309,0.0457573239496012,0.660003591668476,0.0551588747991848,0.0524400788603007,0.0311377637183517,0.502935369868788,0.825560732367754,0.321144793222365,0.786531567399715,0.657156618262235,0.62456359397594,0.334707892241523,0.106868840269476,0.819489993242971,0.0028565162957034,0.0177543683857579,0.106773196676159,0.183640425454498,0.134824361756993,0.58084889992669,0.236429830867452,0.597302278332472,0.603826495490807,0.151129929014857,0.0552683306655366,0.493341763820926,0.0387837519488063,0.426237837404933,0.152158420073391,0.703099554565175,0.541939709238079,0.0199130363382241,0.240818556343618,0.229625724343375
"TjurR2",0.914068715094756,0.325626055484259,0.897710759941121,0.626626128964939,0.922455910662665,0.848948794393236,0.787895539547555,0.354135469322556,0.558188580832246,0.464170036483354,0.380808269691308,0.202318917726926,0.612238583135013,0.816311969664796,0.483008804792947,0.799817089919143,0.836144057517069,0.569679613667752,0.88438816943265,0.666903740516238,0.848980442319904,0.567135428787957,0.732517722453912,0.657388702664458,0.407926083573328,0.945469201021517,0.902949661397063,0.705261103270781,0.647457640935189,0.568261732347748,0.700470923959943,0.860419567692155,0.737795614781232,0.845304794130985,0.856118807695496,0.440560663834249,0.783946214813567,0.578033582441906,0.50559520059058,0.596137853294098,0.599590212579384,0.871704755299051,0.888684192572853,0.809373822343855,0.421496351206279,0.526900456849554
