"","Aepyceros.melampus","Alcelaphus.buselaphus","Cephalophus.callipygus","Cephalophus.dorsalis","Cephalophus.harveyi","Cephalophus.jentinki","Cephalophus.leucogaster","Cephalophus.niger","Cephalophus.nigrifrons","Cephalophus.ogilbyi","Cephalophus.rufilatus","Cephalophus.silvicultor","Cephalophus.weynsi","Cephalophus.zebra","Choeropsis.liberiensis","Equus.quagga","Hippopotamus.amphibius","Hippotragus.niger","Hyemoschus.aquaticus","Hylochoerus.meinertzhageni","Kobus.ellipsiprymnus","Kobus.kob","Loxodonta.africana","Loxodonta.cyclotis","Madoqua.kirkii","Neotragus.batesi","Neotragus.pygmaeus","Nesotragus.moschatus","Okapia.johnstoni","Oreotragus.oreotragus","Ourebia.ourebi","Phacochoerus.africanus","Philantomba.maxwellii","Philantomba.monticola","Potamochoerus.larvatus","Potamochoerus.porcus","Redunca.fulvorufula","Redunca.redunca","Sylvicapra.grimmia","Syncerus.caffer","Tragelaphus.eurycerus","Tragelaphus.oryx","Tragelaphus.scriptus","Tragelaphus.spekii","Tragelaphus.strepsiceros"
"poly(temp, degree = 2, raw = TRUE)",0.0593628096220834,0.0127353369941407,0.0398421910987823,0.103385465586043,0.104287450674806,0.0619312751992378,0.0404604488235617,0.123444528504335,0.103868281877674,0.191875443740862,0.0486845214786485,0.132685717393907,0.0690085327789879,0.0628461635666006,0.0960404125065044,0.110146565282994,0.400980548752617,0.0915787099911978,0.0880890365844986,0.0753889825986533,0.0226886697753816,0.0539590962549553,0.0712270565643782,0.119021238271959,0.281586093892183,0.0821332313080603,0.0759453337821601,0.0267387485302852,0.0623216367737367,0.206759271698131,0.00684065977502482,0.0132488986782679,0.0747544023272455,0.0273140430724408,0.116884214413269,0.131640509872352,0.0759826879821535,0.0341700333466115,0.0826456044757913,0.0464100149441932,0.0604934633709114,0.0497693371157401,0.133282438582952,0.0432341951095376,0.0484426865285348
"poly(precip, degree = 2, raw = TRUE)",0.337120925060026,0.692204201711218,0.154532276745907,0.33123805164277,0.28452724531891,0.107216891096216,0.16763633575574,0.283134384635288,0.339237702371722,0.25065949946462,0.481787147860814,0.616312002109473,0.198634316785455,0.104419049549559,0.165689451049395,0.378282652262904,0.134733696175285,0.357225370732919,0.333636083417244,0.0890497820847289,0.515077585026251,0.760124024724833,0.461976804905191,0.32061154670683,0.311886489696371,0.0719768084611714,0.189201066106248,0.222683462460518,0.351477934184715,0.517162127511458,0.731634491365701,0.442373889076993,0.171198428729677,0.235343749548005,0.406596441477658,0.616011756560233,0.559254116535417,0.715906883634752,0.609036786626312,0.121562846488578,0.428858485564042,0.399846808409237,0.350493653588042,0.236481788313047,0.466410329740495
"poly(mean.diurnal.range, degree = 2, raw = TRUE)",0.0381341556499837,0.0873580593235406,0.0241420613767019,0.020006804594917,0.0612674860015844,0.030411093530195,0.0328805583192767,0.0268617171648891,0.0385256536864547,0.0126178558782665,0.126609123040775,0.0310271367475164,0.0376916044850648,0.0270702685155976,0.0209342542859742,0.0435113131172049,0.0928991155980072,0.0447984173085985,0.0159712329239999,0.231931389324066,0.054250957511736,0.0957132496510133,0.0819109248014017,0.0328141039188611,0.0543329892533739,0.0613680957661106,0.035236926157282,0.0326912637603878,0.0353966734928499,0.0269916530339103,0.172653205901683,0.209644380529189,0.029870741039605,0.102369924612815,0.0406289797904818,0.0310464133886766,0.153477768902028,0.0715265779885449,0.0438457438344073,0.0963839938649896,0.142523838185843,0.0770231729972089,0.0772424625155626,0.0236135763975601,0.0500698015089352
"poly(precip.seasonality, degree = 2, raw = TRUE)",0.0774177143674348,0.152573686441598,0.171489217173504,0.285577571026495,0.114721591547643,0.0938688341888351,0.0567964077026445,0.0858868515835767,0.358883463718111,0.403251665160597,0.315697419694641,0.0927801710181808,0.555242565222584,0.114458861412648,0.147013144737581,0.0441526173424514,0.313505955404237,0.182682156546438,0.36894589153577,0.337495553113305,0.11719723992971,0.0193828591709121,0.12974626365607,0.427312781092763,0.0463962864760432,0.0645555546847181,0.0815855048594249,0.0903884204222724,0.481561302536497,0.15250622760416,0.0677714327289286,0.0583601585305861,0.0766019822848846,0.373041508200149,0.065287738266732,0.0398866254928215,0.0863455053737045,0.0391529074841577,0.20546358956006,0.632445512465434,0.319416153489654,0.182483105544324,0.33532721080428,0.0544768613374015,0.310188435352108
"Random: ID",0.487964395300472,0.0551287155295018,0.609994253605104,0.259792107149776,0.435196226457057,0.706571905985517,0.702226249398777,0.480672518111911,0.159484898346038,0.141595535755655,0.027221787925122,0.127194972730922,0.139422980727909,0.691205656955595,0.570322737420546,0.423906851994446,0.057880684069854,0.323715345420847,0.193357755538488,0.266134292879247,0.290785547756921,0.0708207701982862,0.255138950072959,0.100240330009587,0.305798140682028,0.719966309779939,0.618031169094885,0.627498104826537,0.0692424530122027,0.0965807201523415,0.0211002102286621,0.276372673184964,0.647574445618588,0.26193077456659,0.370602626051859,0.181414694685917,0.124939921206697,0.139243597545935,0.0590082755034301,0.103197632236806,0.0487080593895506,0.290877575933489,0.103654234509163,0.642193578842455,0.124888746869927
"TjurR2",0.817135395098681,0.401103979892482,0.946189398153726,0.946052204445275,0.740277948092768,0.792450320579665,0.971801943568002,0.964494859948828,0.891184870256304,0.707927421537489,0.430460230635519,0.948067763448155,0.913409650019547,0.772073586723446,0.79127302322283,0.758191876802447,0.0821874771196631,0.865973777800415,0.949360743746466,0.77162631699822,0.815795542840396,0.162297762053433,0.633080711022617,0.279944501068422,0.638361427013186,0.783286454285605,0.980890813526182,0.921333021547344,0.581659329905327,0.675965192837316,0.278650305709231,0.799055425484727,0.978186711165859,0.873015072115998,0.802170151904086,0.929436273372598,0.606659904219739,0.626578824795981,0.885599226262094,0.347124168141542,0.781114612344316,0.797152311072234,0.764962903894978,0.890496422862961,0.76308216851046
