"","x"
"(Intercept)",NA
"poly(temp, degree = 2, raw = TRUE)1",NA
"poly(temp, degree = 2, raw = TRUE)2",NA
"poly(precip, degree = 2, raw = TRUE)1",NA
"poly(precip, degree = 2, raw = TRUE)2",NA
"poly(mean.diurnal.range, degree = 2, raw = TRUE)1",NA
"poly(mean.diurnal.range, degree = 2, raw = TRUE)2",NA
"poly(precip.seasonality, degree = 2, raw = TRUE)1",NA
"poly(precip.seasonality, degree = 2, raw = TRUE)2",NA
